Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Acadian Flycatcher,0.5789,,,,,,,,,,,NA,no
Alder Flycatcher,0.9826,6.0,7.0,6.0,7.0,7.0,6.0,9.0,11.0,13.0,93.0,TBD,no
American Bittern,0.7170,,,,,,,,,,,NA,no
American Crow,0.9781,0.0,0.0,0.0,0.0,0.0,0.0,13.0,55.0,57.0,322.0,TBD,no
American Goldfinch,0.9509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,56.0,TBD,no
American Kestrel,0.7020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,TBD,no
American Redstart,0.6042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,TBD,no
American Robin,0.9828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,1895.0,TBD,no
American Woodcock,0.9003,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,TBD,no
Bald Eagle,0.2932,,,,,,,,,,,NA,no
Baltimore Oriole,0.9544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,TBD,no
Barn Swallow,0.7491,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,TBD,no
Barred Owl,0.9998,5.0,4.0,3.0,4.0,3.0,4.0,5.0,9.0,17.0,0.0,TBD,no
Bay-breasted Warbler,0.9685,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,3.0,TBD,no
Bell's Vireo,0.6880,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Belted Kingfisher,0.9402,5.0,0.0,3.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,TBD,no
Black-and-white Warbler,0.7654,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,TBD,no
Black-billed Cuckoo,0.9999,2.0,1.0,2.0,0.0,0.0,1.0,4.0,4.0,5.0,0.0,TBD,no
Black-capped Chickadee,0.9376,0.0,0.0,0.0,0.0,0.0,0.0,27.0,50.0,46.0,59.0,TBD,no
Black-crowned Night-Heron,0.7216,,,,,,,,,,,NA,no
Black-throated Blue Warbler,0.4145,,,,,,,,,,,NA,no
Black-throated Green Warbler,0.9817,3.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,TBD,no
Blackburnian Warbler,0.8639,4.0,4.0,8.0,4.0,8.0,8.0,5.0,5.0,3.0,0.0,TBD,no
Blackpoll Warbler,0.9937,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,10.0,34.0,TBD,no
Blue Jay,0.9993,0.0,0.0,0.0,0.0,0.0,0.0,21.0,57.0,87.0,1666.0,TBD,no
Blue-winged Warbler,0.5186,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Broad-winged Hawk,0.9876,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Brown Creeper,0.2693,,,,,,,,,,,NA,no
Brown Thrasher,0.7910,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,TBD,no
Brown-headed Cowbird,0.7476,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,7.0,3.0,TBD,no
Canada Goose,0.8949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,TBD,no
Canada Warbler,0.9847,15.0,4.0,14.0,12.0,7.0,3.0,10.0,17.0,18.0,37.0,TBD,no
Cedar Waxwing,0.9447,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,3.0,13.0,TBD,no
Chimney Swift,0.4781,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Common Grackle,0.9063,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,11.0,15.0,TBD,no
Common Loon,0.7556,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Common Nighthawk,0.7178,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Common Raven,0.6968,3.0,1.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Common Yellowthroat,0.9199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,TBD,no
Connecticut Warbler,0.9777,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,0.0,TBD,no
Cooper's Hawk,0.6660,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Eastern Bluebird,0.9922,11.0,17.0,20.0,17.0,20.0,16.0,19.0,18.0,34.0,29.0,TBD,no
Eastern Kingbird,0.9983,0.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,56.0,88.0,TBD,no
Eastern Phoebe,0.8490,2.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,TBD,no
Eastern Towhee,0.7928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,3.0,TBD,no
Eastern Whip-poor-will,0.6154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,TBD,no
Eastern Wood-Pewee,0.9959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12647.0,TBD,no
Field Sparrow,0.3671,,,,,,,,,,,NA,no
Golden-crowned Kinglet,0.3527,,,,,,,,,,,NA,no
Golden-winged Warbler,0.4589,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Great Blue Heron,0.8031,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,TBD,no
Great Crested Flycatcher,0.9988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,507.0,1778.0,TBD,no
Great Horned Owl,0.8797,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Green Heron,0.9488,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,TBD,no
Hairy Woodpecker,0.9938,0.0,0.0,0.0,0.0,4.0,13.0,19.0,24.0,27.0,198.0,TBD,no
Hooded Warbler,0.7145,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
House Finch,0.8064,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,TBD,no
House Sparrow,0.7317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,36.0,TBD,no
House Wren,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7768.0,TBD,no
Indigo Bunting,0.9051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476.0,TBD,no
Killdeer,0.8040,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,4.0,TBD,no
Lark Sparrow,0.6807,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,TBD,no
Least Flycatcher,0.9929,0.0,0.0,0.0,0.0,0.0,10.0,32.0,42.0,55.0,410.0,TBD,no
Mallard,0.6737,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,TBD,no
Mourning Dove,0.9989,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,30.0,695.0,TBD,no
Nashville Warbler,0.4304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Northern Bobwhite,0.5221,,,,,,,,,,,NA,no
Northern Cardinal,0.9943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,TBD,no
