Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Alder Flycatcher,0.5902,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no
American Bittern,0.7206,,,,,,,,,,,NA,no
American Crow,0.9529,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,56.0,TBD,no
American Goldfinch,0.9639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,90.0,TBD,no
American Kestrel,0.6640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TBD,no
American Redstart,0.9480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,85.0,TBD,no
American Robin,0.6789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,TBD,no
American Woodcock,0.4241,,,,,,,,,,,NA,no
Baltimore Oriole,0.9826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,TBD,no
Barn Swallow,0.9026,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,TBD,no
Barred Owl,0.9993,4.0,3.0,5.0,1.0,2.0,7.0,0.0,2.0,3.0,0.0,TBD,no
Belted Kingfisher,0.9998,1.0,2.0,3.0,2.0,4.0,6.0,0.0,13.0,0.0,0.0,TBD,no
Black-and-white Warbler,0.8371,0.0,2.0,4.0,4.0,5.0,4.0,1.0,1.0,2.0,1.0,TBD,no
Black-billed Cuckoo,0.9260,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,TBD,no
Black-capped Chickadee,0.9777,0.0,0.0,0.0,0.0,0.0,0.0,294.0,342.0,384.0,753.0,TBD,no
Black-throated Blue Warbler,0.3106,,,,,,,,,,,NA,no
Black-throated Green Warbler,0.5721,,,,,,,,,,,NA,no
Blackburnian Warbler,0.4181,,,,,,,,,,,NA,no
Blackpoll Warbler,0.2805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no
Blue Grosbeak,0.4552,,,,,,,,,,,NA,no
Blue Jay,0.9977,0.0,0.0,0.0,0.0,0.0,0.0,57.0,170.0,219.0,4865.0,TBD,no
Blue-winged Warbler,0.9908,4.0,2.0,2.0,2.0,5.0,3.0,2.0,5.0,9.0,106.0,TBD,no
Broad-winged Hawk,0.4754,,,,,,,,,,,NA,no
Brown Creeper,0.6599,,,,,,,,,,,NA,no
Brown Thrasher,0.7762,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no
Brown-headed Cowbird,0.9987,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,11.0,31.0,TBD,no
Canada Goose,0.9624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,TBD,no
Canada Warbler,0.6482,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,TBD,no
Cedar Waxwing,0.9914,0.0,0.0,0.0,0.0,0.0,27.0,25.0,40.0,49.0,102.0,TBD,no
Common Loon,0.4959,,,,,,,,,,,NA,no
Common Raven,0.5296,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Common Yellowthroat,0.7762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,TBD,no
Dickcissel,0.7889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,TBD,no
Eastern Bluebird,0.9967,9.0,5.0,4.0,4.0,5.0,3.0,4.0,7.0,10.0,11.0,TBD,no
Eastern Meadowlark,0.4633,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,TBD,no
Eastern Phoebe,0.8961,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,TBD,no
Eastern Wood-Pewee,0.9475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,TBD,no
Field Sparrow,0.9819,,,,,,,,,,,NA,no
Golden-winged Warbler,0.7742,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,TBD,no
Great Crested Flycatcher,0.9994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,549.0,1752.0,TBD,no
Great Horned Owl,0.7840,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Green Heron,0.5774,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,TBD,no
House Wren,0.9040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,TBD,no
Indigo Bunting,0.9574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,TBD,no
Killdeer,0.8331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
Lark Sparrow,0.3832,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Mallard,0.8886,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,7.0,13.0,TBD,no
Mourning Dove,0.9863,0.0,0.0,0.0,0.0,0.0,0.0,19.0,39.0,55.0,1091.0,TBD,no
Nashville Warbler,0.9787,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,TBD,no
Northern Cardinal,0.9965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5008.0,TBD,no
