Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Alder Flycatcher,0.7915,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,TBD,no
American Bittern,0.6516,,,,,,,,,,,NA,no
American Crow,0.7899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,22.0,TBD,no
American Goldfinch,0.9869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,114.0,705.0,TBD,no
American Kestrel,0.9020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TBD,no
American Redstart,0.5936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,TBD,no
American Robin,0.9849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,605.0,TBD,no
American Woodcock,0.3438,,,,,,,,,,,NA,no
Bald Eagle,0.4967,,,,,,,,,,,NA,no
Baltimore Oriole,0.6244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,TBD,no
Barn Swallow,0.9903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,TBD,no
Barred Owl,0.9860,2.0,3.0,3.0,2.0,6.0,4.0,6.0,4.0,3.0,0.0,TBD,no
Bell's Vireo,0.9736,2.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,TBD,no
Belted Kingfisher,0.9994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,TBD,no
Black Tern,0.5744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no
Black-and-white Warbler,0.4157,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,TBD,no
Black-billed Cuckoo,0.9999,6.0,5.0,8.0,11.0,7.0,12.0,13.0,35.0,181.0,0.0,TBD,no
Black-capped Chickadee,0.4638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,TBD,no
Blackpoll Warbler,0.3070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,TBD,no
Blue Grosbeak,0.6421,,,,,,,,,,,NA,no
Blue Jay,0.8190,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,39.0,TBD,no
Blue-winged Warbler,0.6424,3.0,2.0,5.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,TBD,no
